ds,y
2018-03-22,4339500
2018-03-23,4341000
2018-03-24,4339500
2018-03-25,4335000
2018-03-26,4327500
2018-03-27,4317000
2018-03-28,4303500
2018-03-29,4287000
2018-03-30,4267500
2018-03-31,4245000
2018-04-01,4273500
2018-04-02,4305000
2018-04-03,4339500
2018-04-04,4377000
2018-04-05,4417500
2018-04-06,4461000
2018-04-07,4507500
2018-04-08,4557000
2018-04-09,4609500
2018-04-10,4665000
2018-04-11,4609500
2018-04-12,4557000
2018-04-13,4507500
2018-04-14,4461000
2018-04-15,4417500
2018-04-16,4377000
2018-04-17,4339500
2018-04-18,4305000
2018-04-19,4273500
2018-04-20,4245000
2018-04-21,4219500
2018-04-22,4197000
2018-04-23,4177500
2018-04-24,4161000
2018-04-25,4147500
2018-04-26,4137000
2018-04-27,4129500
2018-04-28,4125000
2018-04-29,4123500
2018-04-30,4125000
2018-05-01,4123500
2018-05-02,4125000
2018-05-03,4129500
2018-05-04,4137000
2018-05-05,4147500
2018-05-06,4161000
2018-05-07,4177500
2018-05-08,4197000
2018-05-09,4219500
2018-05-10,4245000
2018-05-11,4219500
2018-05-12,4191000
2018-05-13,4159500
2018-05-14,4125000
2018-05-15,4087500
2018-05-16,4047000
2018-05-17,4003500
2018-05-18,3957000
2018-05-19,3907500
2018-05-20,3855000
2018-05-21,3799500
2018-05-22,3747000
2018-05-23,3697500
2018-05-24,3651000
2018-05-25,3607500
2018-05-26,3567000
2018-05-27,3529500
2018-05-28,3495000
2018-05-29,3463500
2018-05-30,3435000
2018-05-31,3463500
2018-06-01,3489000
2018-06-02,3511500
2018-06-03,3531000
2018-06-04,3547500
2018-06-05,3561000
2018-06-06,3571500
2018-06-07,3579000
2018-06-08,3583500
2018-06-09,3585000
2018-06-10,3589500
2018-06-11,3591000
2018-06-12,3589500
2018-06-13,3585000
2018-06-14,3577500
2018-06-15,3567000
2018-06-16,3553500
2018-06-17,3537000
2018-06-18,3517500
2018-06-19,3495000
2018-06-20,3469500
2018-06-21,3441000
2018-06-22,3409500
2018-06-23,3375000
2018-06-24,3337500
2018-06-25,3297000
2018-06-26,3253500
2018-06-27,3207000
2018-06-28,3157500
2018-06-29,3105000
2018-06-30,3163500
2018-07-01,3219000
2018-07-02,3271500
2018-07-03,3321000
2018-07-04,3367500
2018-07-05,3411000
2018-07-06,3451500
2018-07-07,3489000
2018-07-08,3523500
2018-07-09,3555000
2018-07-10,3529500
2018-07-11,3507000
2018-07-12,3487500
2018-07-13,3471000
2018-07-14,3457500
2018-07-15,3447000
2018-07-16,3439500
2018-07-17,3435000
2018-07-18,3433500
2018-07-19,3435000
2018-07-20,3439500
2018-07-21,3441000
2018-07-22,3439500
2018-07-23,3435000
2018-07-24,3427500
2018-07-25,3417000
2018-07-26,3403500
2018-07-27,3387000
2018-07-28,3367500
2018-07-29,3345000
2018-07-30,3373500
2018-07-31,3405000
2018-08-01,3439500
2018-08-02,3477000
2018-08-03,3517500
2018-08-04,3561000
2018-08-05,3607500
2018-08-06,3657000
2018-08-07,3709500
2018-08-08,3765000
2018-08-09,3709500
2018-08-10,3657000
2018-08-11,3607500
2018-08-12,3561000
2018-08-13,3517500
2018-08-14,3477000
2018-08-15,3439500
2018-08-16,3405000
2018-08-17,3373500
2018-08-18,3345000
2018-08-19,3319500
2018-08-20,3297000
2018-08-21,3277500
2018-08-22,3261000
2018-08-23,3247500
2018-08-24,3237000
2018-08-25,3229500
2018-08-26,3225000
2018-08-27,3223500
2018-08-28,3225000
2018-08-29,3223500
2018-08-30,3225000
2018-08-31,3229500
2018-09-01,3237000
2018-09-02,3247500
2018-09-03,3261000
2018-09-04,3277500
2018-09-05,3297000
2018-09-06,3319500
2018-09-07,3345000
2018-09-08,3319500
2018-09-09,3291000
2018-09-10,3259500
2018-09-11,3225000
2018-09-12,3187500
2018-09-13,3147000
2018-09-14,3103500
2018-09-15,3057000
2018-09-16,3007500
2018-09-17,2955000
2018-09-18,2899500
2018-09-19,2847000
2018-09-20,2797500
2018-09-21,2751000
2018-09-22,2707500
2018-09-23,2667000
2018-09-24,2629500
2018-09-25,2595000
2018-09-26,2563500
2018-09-27,2535000
2018-09-28,2563500
2018-09-29,2589000
2018-09-30,2611500
2018-10-01,2631000
2018-10-02,2647500
2018-10-03,2661000
2018-10-04,2671500
2018-10-05,2679000
2018-10-06,2683500
2018-10-07,2685000
2018-10-08,2689500
2018-10-09,2691000
2018-10-10,2689500
2018-10-11,2685000
2018-10-12,2677500
2018-10-13,2667000
2018-10-14,2653500
2018-10-15,2637000
2018-10-16,2617500
2018-10-17,2595000
2018-10-18,2569500
2018-10-19,2541000
2018-10-20,2509500
2018-10-21,2475000
2018-10-22,2437500
2018-10-23,2397000
2018-10-24,2353500
2018-10-25,2307000
2018-10-26,2257500
2018-10-27,2205000
2018-10-28,2263500
2018-10-29,2319000
2018-10-30,2371500
2018-10-31,2421000
2018-11-01,2467500
2018-11-02,2511000
2018-11-03,2551500
2018-11-04,2589000
2018-11-05,2623500
2018-11-06,2655000
2018-11-07,2629500
2018-11-08,2607000
2018-11-09,2587500
2018-11-10,2571000
2018-11-11,2557500
2018-11-12,2547000
2018-11-13,2539500
2018-11-14,2535000
2018-11-15,2533500
2018-11-16,2535000
2018-11-17,2539500
2018-11-18,2541000
2018-11-19,2539500
2018-11-20,2535000
2018-11-21,2527500
2018-11-22,2517000
2018-11-23,2503500
2018-11-24,2487000
2018-11-25,2467500
2018-11-26,2445000
2018-11-27,2473500
2018-11-28,2505000
2018-11-29,2539500
2018-11-30,2577000
2018-12-01,2617500
2018-12-02,2661000
2018-12-03,2707500
2018-12-04,2757000
2018-12-05,2809500
2018-12-06,2865000
2018-12-07,2809500
2018-12-08,2757000
2018-12-09,2707500
2018-12-10,2661000
2018-12-11,2617500
2018-12-12,2577000
2018-12-13,2539500
2018-12-14,2505000
2018-12-15,2473500
2018-12-16,2445000
2018-12-17,2419500
2018-12-18,2397000
2018-12-19,2377500
2018-12-20,2361000
2018-12-21,2347500
2018-12-22,2337000
2018-12-23,2329500
2018-12-24,2325000
2018-12-25,2323500
2018-12-26,2325000
2018-12-27,2323500
2018-12-28,2325000
2018-12-29,2329500
2018-12-30,2337000
2018-12-31,2347500
2019-01-01,2361000
2019-01-02,2377500
2019-01-03,2397000
2019-01-04,2419500
2019-01-05,2445000
2019-01-06,2419500
2019-01-07,2391000
2019-01-08,2359500
2019-01-09,2325000
2019-01-10,2287500
2019-01-11,2247000
2019-01-12,2203500
2019-01-13,2157000
2019-01-14,2107500
2019-01-15,2055000
2019-01-16,1999500
2019-01-17,1947000
2019-01-18,1897500
2019-01-19,1851000
2019-01-20,1807500
2019-01-21,1767000
2019-01-22,1729500
2019-01-23,1695000
2019-01-24,1663500
2019-01-25,1635000
2019-01-26,1663500
2019-01-27,1689000
2019-01-28,1711500
2019-01-29,1731000
2019-01-30,1747500
2019-01-31,1761000
2019-02-01,1771500
2019-02-02,1779000
2019-02-03,1783500
2019-02-04,1785000
2019-02-05,1789500
2019-02-06,1791000
2019-02-07,1789500
2019-02-08,1785000
2019-02-09,1777500
2019-02-10,1767000
2019-02-11,1753500
2019-02-12,1737000
2019-02-13,1717500
2019-02-14,1695000
2019-02-15,1669500
2019-02-16,1641000
2019-02-17,1609500
2019-02-18,1575000
2019-02-19,1537500
2019-02-20,1497000
2019-02-21,1453500
2019-02-22,1407000
2019-02-23,1357500
2019-02-24,1305000
2019-02-25,1363500
2019-02-26,1419000
2019-02-27,1471500
2019-02-28,1521000
2019-03-01,1567500
2019-03-02,1611000
2019-03-03,1651500
2019-03-04,1689000
2019-03-05,1723500
2019-03-06,1755000
2019-03-07,1729500
2019-03-08,1707000
2019-03-09,1687500
2019-03-10,1671000
2019-03-11,1657500
2019-03-12,1647000
2019-03-13,1639500
2019-03-14,1635000
2019-03-15,1633500
2019-03-16,1635000
2019-03-17,1639500
2019-03-18,1641000
2019-03-19,1639500
2019-03-20,1635000
2019-03-21,1627500
