ds,y
2018-03-22,90
2018-03-23,100
2018-03-24,120
2018-03-25,150
2018-03-26,190
2018-03-27,240
2018-03-28,300
2018-03-29,370
2018-03-30,450
2018-03-31,540
2018-04-01,640
2018-04-02,750
2018-04-03,870
2018-04-04,1000
2018-04-05,1140
2018-04-06,1290
2018-04-07,1450
2018-04-08,1620
2018-04-09,1800
2018-04-10,1990
2018-04-11,2190
2018-04-12,2400
2018-04-13,2620
2018-04-14,2850
2018-04-15,3090
2018-04-16,3340
2018-04-17,3600
2018-04-18,3870
2018-04-19,4150
2018-04-20,4440
2018-04-21,4740
2018-04-22,5050
2018-04-23,5370
2018-04-24,5700
2018-04-25,6040
2018-04-26,6390
2018-04-27,6750
2018-04-28,7120
2018-04-29,7500
2018-04-30,7890
2018-05-01,8290
2018-05-02,8700
2018-05-03,9120
2018-05-04,9550
2018-05-05,9990
2018-05-06,10440
2018-05-07,10900
2018-05-08,11370
2018-05-09,11850
2018-05-10,12340
2018-05-11,12840
2018-05-12,13350
2018-05-13,13870
2018-05-14,14400
2018-05-15,14940
2018-05-16,15490
2018-05-17,16050
2018-05-18,16620
2018-05-19,17200
2018-05-20,17790
2018-05-21,18390
2018-05-22,19000
2018-05-23,19620
2018-05-24,20250
2018-05-25,20890
2018-05-26,21540
2018-05-27,22200
2018-05-28,22870
2018-05-29,23550
2018-05-30,24240
2018-05-31,24940
2018-06-01,25650
2018-06-02,26370
2018-06-03,27100
2018-06-04,27840
2018-06-05,28590
2018-06-06,29350
2018-06-07,30120
2018-06-08,30900
2018-06-09,31690
2018-06-10,32490
2018-06-11,33300
2018-06-12,34120
2018-06-13,34950
2018-06-14,35790
2018-06-15,36640
2018-06-16,37500
2018-06-17,38370
2018-06-18,39250
2018-06-19,40140
2018-06-20,41040
2018-06-21,41950
2018-06-22,42870
2018-06-23,43800
2018-06-24,44740
2018-06-25,45690
2018-06-26,46650
2018-06-27,47620
2018-06-28,48600
2018-06-29,49590
2018-06-30,50590
2018-07-01,51600
2018-07-02,52620
2018-07-03,53650
2018-07-04,54690
2018-07-05,55740
2018-07-06,56800
2018-07-07,57870
2018-07-08,58950
2018-07-09,60040
2018-07-10,61140
2018-07-11,62250
2018-07-12,63370
2018-07-13,64500
2018-07-14,65640
2018-07-15,66790
2018-07-16,67950
2018-07-17,69120
2018-07-18,70300
2018-07-19,71490
2018-07-20,72690
2018-07-21,73900
2018-07-22,75120
2018-07-23,76350
2018-07-24,77590
2018-07-25,78840
2018-07-26,80100
2018-07-27,81370
2018-07-28,82650
2018-07-29,83940
2018-07-30,85240
2018-07-31,86550
2018-08-01,87870
2018-08-02,89200
2018-08-03,90540
2018-08-04,91890
2018-08-05,93250
2018-08-06,94620
2018-08-07,96000
2018-08-08,97390
2018-08-09,98790
2018-08-10,100200
2018-08-11,101620
2018-08-12,103050
2018-08-13,104490
2018-08-14,105940
2018-08-15,107400
2018-08-16,108870
2018-08-17,110350
2018-08-18,111840
2018-08-19,113340
2018-08-20,114850
2018-08-21,116370
2018-08-22,117900
2018-08-23,119440
2018-08-24,120990
2018-08-25,122550
2018-08-26,124120
2018-08-27,125700
2018-08-28,127290
2018-08-29,128890
2018-08-30,130500
2018-08-31,132120
2018-09-01,133750
2018-09-02,135390
2018-09-03,137040
2018-09-04,138700
2018-09-05,140370
2018-09-06,142050
2018-09-07,143740
2018-09-08,145440
2018-09-09,147150
